id,eje,subfila_de,indicador,escala,base_anio,base_anio_texto,base_valor,meta_2015,meta_2020,meta_2025,meta_2030,anios_sin_meta_numerica
2.9,2,,Tasa neta de cobertura educación nivel básica,numerica,2010,,94.7,97.3,100.0,100.0,100.0,
2.9·Masculino,2,2.9,Masculino,sin_meta,2010,,94.7,,,,,
2.9·Femenino,2,2.9,Femenino,sin_meta,2010,,94.7,,,,,
2.10,2,,Tasa neta de cobertura educación nivel secundaria,numerica,2010,,51.7,64.3,77.0,86.0,95.0,
2.10·Masculino,2,2.10,Masculino,sin_meta,2010,,47.3,,,,,
2.10·Femenino,2,2.10,Femenino,sin_meta,2010,,56.5,,,,,
2.11,2,,Porcentaje de la PEA de 15 años y más asistiendo a programas de capacitación laboral,numerica,2010,,7.6,10.0,13.0,17.5,23.0,
2.12,2,,Promedio de los puntajes de los estudiantes de 6to grado de primaria en la prueba de lectura LLECE/UNESCO,redactada,2005,,421.0,Pertenecer al nivel II,Pertenecer al nivel II Con un puntaje promedio > 484,Pertenecer al nivel III,Pertenecer al nivel III Con un puntaje promedio > 557,
2.13,2,,Promedio de los puntajes de los estudiantes de 3er grado de primaria en la prueba de lectura LLECE/UNESCO,redactada,2006,,395.0,Pertenecer al nivel II,Pertenecer al nivel II Con un puntaje promedio > 500,Pertenecer al nivel III,Pertenecer al nivel III Con un puntaje promedio > 600,
2.14,2,,Promedio de los puntajes de los estudiantes de 6to grado de primaria en la prueba de matemática LLECE/UNESCO,redactada,2006,,415.0,Pertenecer al nivel II Con un puntaje promedio > 445,Pertenecer al nivel II Con un puntaje promedio > 490,Pertenecer al nivel III,Pertenecer al nivel III Con un puntaje promedio > 560,
2.15,2,,Promedio de los puntajes de los estudiantes de 3er grado de primaria en la prueba de matemática LLECE/UNESCO,redactada,2006,,395.0,Pertenecer al nivel I Con un puntaje promedio > 435,Pertenecer al nivel II,Pertenecer al nivel II Con un puntaje promedio > 480,Pertenecer al nivel III,
2.16,2,,Promedio de los puntajes de los estudiantes de 6to grado de primaria en la prueba de en ciencias LLECE/UNESCO,redactada,2006,,426.0,Pertenecer al nivel II,Pertenecer al nivel II Con un puntaje promedio > 525,Pertenecer al nivel III,Pertenecer al nivel III Con un puntaje promedio > 650,
2.17,2,,"Porcentaje de alumnos situados en o por debajo del nivel II de rendimiento en pruebas LLECE de 6to. grado para lectura, matemáticas y ciencias",redactada,2006,,Matemáticas: 92.9,Matemáticas : 85.8,Matemáticas : 73.0,Matemáticas : 63.0,Matemáticas : 53.0,
2.18,2,,Número medio de años de escolaridad de la población de 25 a 39 años,numerica,2010,,9.4,10.0,10.6,11.3,12.0,
2.18·Masculino,2,2.18,Masculino,sin_meta,2010,,8.8,,,,,
2.18·Femenino,2,2.18,Femenino,sin_meta,2010,,10.0,,,,,
2.19,2,,Tasa de analfabetismo población de 15 años y más,umbral,2010,,10.5,< 4,< 4,< 4,< 4,
2.19·Masculino,2,2.19,Masculino,sin_meta,2010,,10.6,,,,,
2.19·Femenino,2,2.19,Femenino,sin_meta,2010,,10.3,,,,,
2.20,2,,Gasto público en educación como % del PIB,numerica,2009,,2.2,5.0,6.0,6.5,7.0,
2.21,2,,Esperanza de vida al nacer,numerica,,2005- 2010,72.4,74.6,77.0,78.5,80.0,
2.21·Masculino,2,2.21,Masculino,sin_meta,,2005- 2010,69.1,,,,,
2.21·Femenino,2,2.21,Femenino,sin_meta,,2005-,75.5,,,,,
2.22,2,,Tasa de mortalidad menores de 5 años,numerica,,2002- 2007,36.0,24.0,18.0,14.5,11.0,
2.22·Masculino,2,2.22,Masculino,sin_meta,,1997- 2007,40.0,,,,,
